location,landarea,aptarea,minprice,winprice,result,time
서울특별시 종로구 신영동 105-22 구암하이빌아파트 제2층 제201호 아파트,39.86,75.89,286700000,299999999,낙찰,2020-12-22 09:00
서울특별시 성동구 옥수동 428 8동 2층 210호 아파트,33.84,57.78,955000000,1006113260,낙찰,2020-12-01 10:00
서울특별시 은평구 갈현동 468-4 1402호 아파트,20.151,55.7,350000000,350010000,낙찰,2020-11-23 10:00
서울특별시 은평구 갈현동 468-4 1202호 아파트,20.151,55.7,345000000,345019999,낙찰,2020-11-23 10:00
서울특별시 도봉구 도봉동 87 4동 1310호 아파트,0.0,73.89,487500000,565000000,낙찰,2020-11-11 14:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제14층 제1402호 아파트,30.68,95.566,1370800000,1370800000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제13층 제1301호 아파트,30.68,95.566,1370800000,1370800000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제12층 제1202호 아파트,30.68,95.566,1370800000,1370800000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제12층 제1201호 아파트,30.68,95.566,1370800000,1370800000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제11층 제1104호 아파트,21.506,66.987,915200000,915200000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제11층 제1103호 아파트,21.506,66.987,915200000,915200000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제11층 제1102호 아파트,30.81,95.968,1311000000,1311000000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제11층 제1101호 아파트,31.0,96.552,1319200000,1319200000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제10층 제1001호 아파트,31.0,96.552,1279600000,1279600000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제9층 제903호 아파트,21.506,66.987,887700000,887700000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제9층 제901호 아파트,31.0,96.552,1279600000,1279600000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제8층 제803호 아파트,21.506,66.987,869400000,869400000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제8층 제802호 아파트,30.81,95.968,1245500000,1245500000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제8층 제801호 아파트,31.0,96.552,1253200000,1253200000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제7층 제704호 아파트,21.506,66.987,869400000,869400000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제7층 제703호 아파트,21.506,66.987,869400000,869400000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제7층 제702호 아파트,30.81,95.968,1245500000,1245500000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제7층 제701호 아파트,31.0,96.552,1253200000,1253200000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제6층 제604호 아파트,21.506,66.987,851100000,851100000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제6층 제603호 아파트,21.506,66.987,851100000,851100000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제6층 제601호 아파트,31.0,96.552,1226800000,1226800000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제5층 제504호 아파트,21.506,66.987,851100000,851100000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제5층 제501호 아파트,31.0,96.552,1226800000,1226800000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제4층 제401호 아파트,31.0,96.552,1213700000,1213700000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제3층 제304호 아파트,21.506,66.987,823600000,823600000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제3층 제303호 아파트,21.506,66.987,823600000,823600000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제3층 제302호 아파트,30.81,95.968,1179900000,1179900000,낙찰,2020-10-13 09:00
서울특별시 강남구 삼성동 3-1번지 삼성월드타워 아파트 제2층 제203호 아파트,21.506,66.987,823600000,823600000,낙찰,2020-10-13 09:00
